  File "Experiments.py", line 15
    %matplotlib inline
    ^
SyntaxError: invalid syntax
Using cache found in /cis/home/zwang/.cache/torch/hub/pytorch_vision_v0.6.0
epoch=0/60, train loss = 0.170, train_accuracy = 0.820
epoch=48/60, train loss = 0.015, train_accuracy = 0.980
epoch=48/60, val loss = 0.135, val_accuracy = 0.820
epoch=49/60, train loss = 0.002, train_accuracy = 1.000
epoch=49/60, val loss = 0.137, val_accuracy = 0.800
epoch=50/60, train loss = 0.001, train_accuracy = 1.000
epoch=50/60, val loss = 0.128, val_accuracy = 0.790
epoch=51/60, train loss = 0.006, train_accuracy = 1.000
epoch=51/60, val loss = 0.131, val_accuracy = 0.790
epoch=52/60, train loss = 0.010, train_accuracy = 0.980
epoch=52/60, val loss = 0.144, val_accuracy = 0.810
epoch=53/60, train loss = 0.001, train_accuracy = 1.000
epoch=53/60, val loss = 0.142, val_accuracy = 0.790
epoch=54/60, train loss = 0.002, train_accuracy = 1.000
epoch=54/60, val loss = 0.119, val_accuracy = 0.800
epoch=55/60, train loss = 0.001, train_accuracy = 1.000
epoch=55/60, val loss = 0.138, val_accuracy = 0.800
epoch=56/60, train loss = 0.002, train_accuracy = 1.000
epoch=56/60, val loss = 0.124, val_accuracy = 0.780
epoch=57/60, train loss = 0.001, train_accuracy = 1.000
epoch=57/60, val loss = 0.127, val_accuracy = 0.780
epoch=58/60, train loss = 0.016, train_accuracy = 0.990
epoch=58/60, val loss = 0.145, val_accuracy = 0.800
epoch=59/60, train loss = 0.002, train_accuracy = 1.000
epoch=59/60, val loss = 0.135, val_accuracy = 0.770
Traceback (most recent call last):
  File "Experiments.py", line 92, in <module>
  File "/cis/home/zwang/Projects/ComNecrosis/train.py", line 44, in Train
    return model, Train_Loss, Train_accuracy, Val_loss, Val_accuracy
NameError: name 'Train_Loss' is not defined
Using cache found in /cis/home/zwang/.cache/torch/hub/pytorch_vision_v0.6.0
epoch=0/60, train loss = 0.210, train_accuracy = 0.680
epoch=0/60, val loss = 0.065, val_accuracy = 0.840
epoch=1/60, train loss = 0.014, train_accuracy = 1.000
epoch=1/60, val loss = 0.105, val_accuracy = 0.810
epoch=2/60, train loss = 0.007, train_accuracy = 1.000
epoch=2/60, val loss = 0.098, val_accuracy = 0.770
epoch=3/60, train loss = 0.004, train_accuracy = 1.000
epoch=3/60, val loss = 0.107, val_accuracy = 0.770
epoch=4/60, train loss = 0.023, train_accuracy = 0.980
epoch=4/60, val loss = 0.105, val_accuracy = 0.780
epoch=5/60, train loss = 0.023, train_accuracy = 0.980
epoch=5/60, val loss = 0.114, val_accuracy = 0.770
epoch=6/60, train loss = 0.008, train_accuracy = 1.000
epoch=6/60, val loss = 0.101, val_accuracy = 0.760
epoch=7/60, train loss = 0.005, train_accuracy = 1.000
epoch=7/60, val loss = 0.100, val_accuracy = 0.750
epoch=8/60, train loss = 0.004, train_accuracy = 1.000
epoch=8/60, val loss = 0.101, val_accuracy = 0.750
epoch=9/60, train loss = 0.006, train_accuracy = 1.000
epoch=9/60, val loss = 0.108, val_accuracy = 0.770
epoch=10/60, train loss = 0.007, train_accuracy = 0.990
epoch=10/60, val loss = 0.104, val_accuracy = 0.760
epoch=11/60, train loss = 0.007, train_accuracy = 1.000
epoch=11/60, val loss = 0.100, val_accuracy = 0.770
epoch=12/60, train loss = 0.007, train_accuracy = 1.000
epoch=12/60, val loss = 0.113, val_accuracy = 0.790
epoch=13/60, train loss = 0.009, train_accuracy = 1.000
epoch=13/60, val loss = 0.105, val_accuracy = 0.770
epoch=14/60, train loss = 0.006, train_accuracy = 1.000
epoch=14/60, val loss = 0.097, val_accuracy = 0.780
epoch=15/60, train loss = 0.009, train_accuracy = 0.980
epoch=15/60, val loss = 0.112, val_accuracy = 0.770
epoch=16/60, train loss = 0.003, train_accuracy = 1.000
epoch=16/60, val loss = 0.099, val_accuracy = 0.780
epoch=17/60, train loss = 0.007, train_accuracy = 0.990
epoch=17/60, val loss = 0.110, val_accuracy = 0.790
epoch=18/60, train loss = 0.007, train_accuracy = 0.990
epoch=18/60, val loss = 0.105, val_accuracy = 0.800
epoch=19/60, train loss = 0.005, train_accuracy = 1.000
epoch=19/60, val loss = 0.102, val_accuracy = 0.780
epoch=20/60, train loss = 0.006, train_accuracy = 1.000
epoch=20/60, val loss = 0.101, val_accuracy = 0.770
epoch=21/60, train loss = 0.007, train_accuracy = 1.000
epoch=21/60, val loss = 0.110, val_accuracy = 0.780
epoch=22/60, train loss = 0.024, train_accuracy = 0.980
epoch=22/60, val loss = 0.112, val_accuracy = 0.790
epoch=23/60, train loss = 0.016, train_accuracy = 0.990
epoch=23/60, val loss = 0.104, val_accuracy = 0.760
epoch=24/60, train loss = 0.004, train_accuracy = 1.000
epoch=24/60, val loss = 0.108, val_accuracy = 0.780
epoch=25/60, train loss = 0.006, train_accuracy = 1.000
epoch=25/60, val loss = 0.108, val_accuracy = 0.780
epoch=26/60, train loss = 0.005, train_accuracy = 0.990
epoch=26/60, val loss = 0.106, val_accuracy = 0.790
epoch=27/60, train loss = 0.004, train_accuracy = 1.000
epoch=27/60, val loss = 0.118, val_accuracy = 0.750
epoch=28/60, train loss = 0.007, train_accuracy = 1.000
epoch=28/60, val loss = 0.109, val_accuracy = 0.760
epoch=29/60, train loss = 0.008, train_accuracy = 0.980
epoch=29/60, val loss = 0.094, val_accuracy = 0.740
epoch=30/60, train loss = 0.005, train_accuracy = 0.990
epoch=30/60, val loss = 0.112, val_accuracy = 0.770
epoch=31/60, train loss = 0.014, train_accuracy = 0.990
epoch=31/60, val loss = 0.110, val_accuracy = 0.760
epoch=32/60, train loss = 0.003, train_accuracy = 1.000
epoch=32/60, val loss = 0.101, val_accuracy = 0.780
epoch=33/60, train loss = 0.004, train_accuracy = 0.990
epoch=33/60, val loss = 0.101, val_accuracy = 0.760
epoch=34/60, train loss = 0.005, train_accuracy = 0.990
epoch=34/60, val loss = 0.105, val_accuracy = 0.760
epoch=35/60, train loss = 0.004, train_accuracy = 1.000
epoch=35/60, val loss = 0.102, val_accuracy = 0.770
epoch=36/60, train loss = 0.006, train_accuracy = 1.000
epoch=36/60, val loss = 0.099, val_accuracy = 0.770
epoch=37/60, train loss = 0.014, train_accuracy = 0.990
epoch=37/60, val loss = 0.105, val_accuracy = 0.750
epoch=38/60, train loss = 0.007, train_accuracy = 0.990
epoch=38/60, val loss = 0.095, val_accuracy = 0.750
epoch=39/60, train loss = 0.024, train_accuracy = 0.980
epoch=39/60, val loss = 0.106, val_accuracy = 0.780
epoch=40/60, train loss = 0.007, train_accuracy = 0.990
epoch=40/60, val loss = 0.105, val_accuracy = 0.800
epoch=41/60, train loss = 0.006, train_accuracy = 1.000
epoch=41/60, val loss = 0.107, val_accuracy = 0.780
epoch=42/60, train loss = 0.026, train_accuracy = 0.990
epoch=42/60, val loss = 0.110, val_accuracy = 0.790
epoch=43/60, train loss = 0.008, train_accuracy = 0.990
epoch=43/60, val loss = 0.110, val_accuracy = 0.760
epoch=44/60, train loss = 0.006, train_accuracy = 1.000
epoch=44/60, val loss = 0.097, val_accuracy = 0.790
epoch=45/60, train loss = 0.004, train_accuracy = 1.000
epoch=45/60, val loss = 0.116, val_accuracy = 0.770
epoch=46/60, train loss = 0.004, train_accuracy = 1.000
epoch=46/60, val loss = 0.098, val_accuracy = 0.770
epoch=47/60, train loss = 0.008, train_accuracy = 1.000
epoch=47/60, val loss = 0.110, val_accuracy = 0.800
epoch=48/60, train loss = 0.008, train_accuracy = 0.980
epoch=48/60, val loss = 0.098, val_accuracy = 0.790
epoch=49/60, train loss = 0.005, train_accuracy = 1.000
epoch=49/60, val loss = 0.108, val_accuracy = 0.770
epoch=50/60, train loss = 0.005, train_accuracy = 1.000
epoch=50/60, val loss = 0.108, val_accuracy = 0.800
epoch=51/60, train loss = 0.022, train_accuracy = 0.980
epoch=51/60, val loss = 0.104, val_accuracy = 0.770
epoch=52/60, train loss = 0.032, train_accuracy = 0.980
epoch=52/60, val loss = 0.104, val_accuracy = 0.800
epoch=53/60, train loss = 0.008, train_accuracy = 0.990
epoch=53/60, val loss = 0.102, val_accuracy = 0.760
epoch=54/60, train loss = 0.003, train_accuracy = 1.000
epoch=54/60, val loss = 0.113, val_accuracy = 0.760
epoch=55/60, train loss = 0.025, train_accuracy = 0.990
epoch=55/60, val loss = 0.100, val_accuracy = 0.750
epoch=56/60, train loss = 0.007, train_accuracy = 1.000
epoch=56/60, val loss = 0.112, val_accuracy = 0.770
epoch=57/60, train loss = 0.005, train_accuracy = 1.000
epoch=57/60, val loss = 0.105, val_accuracy = 0.760
epoch=58/60, train loss = 0.005, train_accuracy = 0.990
epoch=58/60, val loss = 0.108, val_accuracy = 0.760
epoch=59/60, train loss = 0.014, train_accuracy = 0.980
epoch=59/60, val loss = 0.108, val_accuracy = 0.770
Traceback (most recent call last):
  File "Experiments-train.py", line 98, in <module>
    torch.save(model.state_dict(), 'Data/ComNecrosis/Aaron/model_mixpatch_x40_w4.pth')
  File "/cis/home/zwang/anaconda3/lib/python3.7/site-packages/torch/serialization.py", line 260, in save
    return _with_file_like(f, "wb", lambda f: _save(obj, f, pickle_module, pickle_protocol))
  File "/cis/home/zwang/anaconda3/lib/python3.7/site-packages/torch/serialization.py", line 183, in _with_file_like
    f = open(f, mode)
FileNotFoundError: [Errno 2] No such file or directory: 'Data/ComNecrosis/Aaron/model_mixpatch_x40_w4.pth'
Using cache found in /cis/home/zwang/.cache/torch/hub/pytorch_vision_v0.6.0
epoch=0/60, train loss = 0.264, train_accuracy = 0.730
epoch=0/60, val loss = 0.126, val_accuracy = 0.690
epoch=1/60, train loss = 0.027, train_accuracy = 0.970
epoch=1/60, val loss = 0.086, val_accuracy = 0.750
epoch=2/60, train loss = 0.008, train_accuracy = 1.000
epoch=2/60, val loss = 0.095, val_accuracy = 0.760
epoch=3/60, train loss = 0.017, train_accuracy = 0.990
epoch=3/60, val loss = 0.110, val_accuracy = 0.730
epoch=4/60, train loss = 0.008, train_accuracy = 1.000
epoch=4/60, val loss = 0.099, val_accuracy = 0.730
epoch=5/60, train loss = 0.007, train_accuracy = 0.990
epoch=5/60, val loss = 0.113, val_accuracy = 0.760
epoch=6/60, train loss = 0.005, train_accuracy = 1.000
epoch=6/60, val loss = 0.109, val_accuracy = 0.720
epoch=7/60, train loss = 0.006, train_accuracy = 1.000
epoch=7/60, val loss = 0.104, val_accuracy = 0.750
epoch=8/60, train loss = 0.005, train_accuracy = 1.000
epoch=8/60, val loss = 0.114, val_accuracy = 0.730
epoch=9/60, train loss = 0.007, train_accuracy = 0.990
epoch=9/60, val loss = 0.098, val_accuracy = 0.770
epoch=10/60, train loss = 0.009, train_accuracy = 1.000
epoch=10/60, val loss = 0.110, val_accuracy = 0.740
epoch=11/60, train loss = 0.010, train_accuracy = 0.990
epoch=11/60, val loss = 0.112, val_accuracy = 0.740
epoch=12/60, train loss = 0.003, train_accuracy = 1.000
epoch=12/60, val loss = 0.104, val_accuracy = 0.740
epoch=13/60, train loss = 0.005, train_accuracy = 1.000
epoch=13/60, val loss = 0.107, val_accuracy = 0.740
epoch=14/60, train loss = 0.005, train_accuracy = 1.000
epoch=14/60, val loss = 0.100, val_accuracy = 0.750
epoch=15/60, train loss = 0.013, train_accuracy = 0.990
epoch=15/60, val loss = 0.107, val_accuracy = 0.740
epoch=16/60, train loss = 0.021, train_accuracy = 0.970
epoch=16/60, val loss = 0.100, val_accuracy = 0.740
epoch=17/60, train loss = 0.005, train_accuracy = 1.000
epoch=17/60, val loss = 0.101, val_accuracy = 0.740
epoch=18/60, train loss = 0.007, train_accuracy = 1.000
epoch=18/60, val loss = 0.100, val_accuracy = 0.740
epoch=19/60, train loss = 0.007, train_accuracy = 1.000
epoch=19/60, val loss = 0.108, val_accuracy = 0.740
epoch=20/60, train loss = 0.006, train_accuracy = 0.990
epoch=20/60, val loss = 0.103, val_accuracy = 0.740
epoch=21/60, train loss = 0.015, train_accuracy = 0.990
epoch=21/60, val loss = 0.104, val_accuracy = 0.730
epoch=22/60, train loss = 0.005, train_accuracy = 1.000
epoch=22/60, val loss = 0.103, val_accuracy = 0.740
epoch=23/60, train loss = 0.003, train_accuracy = 1.000
epoch=23/60, val loss = 0.105, val_accuracy = 0.740
epoch=24/60, train loss = 0.004, train_accuracy = 1.000
epoch=24/60, val loss = 0.098, val_accuracy = 0.750
epoch=25/60, train loss = 0.004, train_accuracy = 1.000
epoch=25/60, val loss = 0.098, val_accuracy = 0.730
epoch=26/60, train loss = 0.007, train_accuracy = 1.000
epoch=26/60, val loss = 0.101, val_accuracy = 0.750
epoch=27/60, train loss = 0.015, train_accuracy = 0.980
epoch=27/60, val loss = 0.110, val_accuracy = 0.760
epoch=28/60, train loss = 0.008, train_accuracy = 0.990
epoch=28/60, val loss = 0.101, val_accuracy = 0.730
epoch=29/60, train loss = 0.004, train_accuracy = 1.000
epoch=29/60, val loss = 0.105, val_accuracy = 0.730
epoch=30/60, train loss = 0.004, train_accuracy = 1.000
epoch=30/60, val loss = 0.099, val_accuracy = 0.730
epoch=31/60, train loss = 0.011, train_accuracy = 0.990
epoch=31/60, val loss = 0.094, val_accuracy = 0.730
epoch=32/60, train loss = 0.007, train_accuracy = 1.000
epoch=32/60, val loss = 0.110, val_accuracy = 0.720
epoch=33/60, train loss = 0.008, train_accuracy = 1.000
epoch=33/60, val loss = 0.105, val_accuracy = 0.730
epoch=34/60, train loss = 0.006, train_accuracy = 1.000
epoch=34/60, val loss = 0.113, val_accuracy = 0.740
epoch=35/60, train loss = 0.009, train_accuracy = 0.980
epoch=35/60, val loss = 0.106, val_accuracy = 0.740
epoch=36/60, train loss = 0.008, train_accuracy = 0.980
epoch=36/60, val loss = 0.108, val_accuracy = 0.760
epoch=37/60, train loss = 0.005, train_accuracy = 1.000
epoch=37/60, val loss = 0.100, val_accuracy = 0.740
epoch=38/60, train loss = 0.006, train_accuracy = 1.000
epoch=38/60, val loss = 0.104, val_accuracy = 0.750
epoch=39/60, train loss = 0.006, train_accuracy = 1.000
epoch=39/60, val loss = 0.108, val_accuracy = 0.750
epoch=40/60, train loss = 0.008, train_accuracy = 0.990
epoch=40/60, val loss = 0.121, val_accuracy = 0.710
epoch=41/60, train loss = 0.006, train_accuracy = 1.000
epoch=41/60, val loss = 0.110, val_accuracy = 0.760
epoch=42/60, train loss = 0.004, train_accuracy = 1.000
epoch=42/60, val loss = 0.116, val_accuracy = 0.750
epoch=43/60, train loss = 0.005, train_accuracy = 1.000
epoch=43/60, val loss = 0.102, val_accuracy = 0.740
epoch=44/60, train loss = 0.005, train_accuracy = 1.000
epoch=44/60, val loss = 0.100, val_accuracy = 0.720
epoch=45/60, train loss = 0.006, train_accuracy = 0.990
epoch=45/60, val loss = 0.107, val_accuracy = 0.750
epoch=46/60, train loss = 0.018, train_accuracy = 0.990
epoch=46/60, val loss = 0.105, val_accuracy = 0.730
epoch=47/60, train loss = 0.006, train_accuracy = 0.990
epoch=47/60, val loss = 0.107, val_accuracy = 0.740
epoch=48/60, train loss = 0.009, train_accuracy = 0.980
epoch=48/60, val loss = 0.119, val_accuracy = 0.740
epoch=49/60, train loss = 0.005, train_accuracy = 1.000
epoch=49/60, val loss = 0.107, val_accuracy = 0.750
epoch=50/60, train loss = 0.006, train_accuracy = 0.990
epoch=50/60, val loss = 0.108, val_accuracy = 0.750
epoch=51/60, train loss = 0.009, train_accuracy = 0.980
epoch=51/60, val loss = 0.098, val_accuracy = 0.750
epoch=52/60, train loss = 0.004, train_accuracy = 1.000
epoch=52/60, val loss = 0.101, val_accuracy = 0.740
epoch=53/60, train loss = 0.013, train_accuracy = 0.990
epoch=53/60, val loss = 0.111, val_accuracy = 0.740
epoch=54/60, train loss = 0.011, train_accuracy = 0.980
epoch=54/60, val loss = 0.098, val_accuracy = 0.760
epoch=55/60, train loss = 0.006, train_accuracy = 1.000
epoch=55/60, val loss = 0.108, val_accuracy = 0.770
epoch=56/60, train loss = 0.012, train_accuracy = 0.990
epoch=56/60, val loss = 0.102, val_accuracy = 0.720
epoch=57/60, train loss = 0.015, train_accuracy = 0.990
epoch=57/60, val loss = 0.103, val_accuracy = 0.740
epoch=58/60, train loss = 0.012, train_accuracy = 0.970
epoch=58/60, val loss = 0.105, val_accuracy = 0.750
epoch=59/60, train loss = 0.005, train_accuracy = 1.000
epoch=59/60, val loss = 0.101, val_accuracy = 0.720
Traceback (most recent call last):
  File "Experiments-train.py", line 98, in <module>
    torch.save(model.state_dict(), '~/Data/ComNecrosis/Aaron/model_mixpatch_x40_w4.pth')
  File "/cis/home/zwang/anaconda3/lib/python3.7/site-packages/torch/serialization.py", line 260, in save
    return _with_file_like(f, "wb", lambda f: _save(obj, f, pickle_module, pickle_protocol))
  File "/cis/home/zwang/anaconda3/lib/python3.7/site-packages/torch/serialization.py", line 183, in _with_file_like
    f = open(f, mode)
FileNotFoundError: [Errno 2] No such file or directory: '~/Data/ComNecrosis/Aaron/model_mixpatch_x40_w4.pth'
Using cache found in /cis/home/zwang/.cache/torch/hub/pytorch_vision_v0.6.0
0 / 95014 [0.14422299 0.02600222 0.82977486]
1000 / 95014 [0.21545559 0.04511384 0.7394306 ]
2000 / 95014 [0.01537049 0.05606211 0.92856735]
3000 / 95014 [0.8210292  0.14947595 0.02949476]
4000 / 95014 [0.00999624 0.01238452 0.9776193 ]
5000 / 95014 [0.03897671 0.0030381  0.9579852 ]
6000 / 95014 [0.097473   0.00791349 0.89461356]
7000 / 95014 [0.02527461 0.00279557 0.97192985]
8000 / 95014 [0.13751294 0.01399082 0.8484963 ]
9000 / 95014 [0.13714923 0.071683   0.7911678 ]
10000 / 95014 [0.32636887 0.5462446  0.1273865 ]
11000 / 95014 [0.08885961 0.8661304  0.04501001]
12000 / 95014 [0.02420561 0.00750575 0.96828866]
13000 / 95014 [0.10040915 0.01571273 0.88387805]
14000 / 95014 [0.04145631 0.0014388  0.957105  ]
15000 / 95014 [0.02083259 0.00207206 0.97709537]
16000 / 95014 [0.18141942 0.00457128 0.81400937]
17000 / 95014 [1.2964857e-02 1.8254350e-04 9.8685259e-01]
18000 / 95014 [0.01741235 0.00900402 0.9735835 ]
19000 / 95014 [0.01834993 0.00374865 0.97790134]
20000 / 95014 [0.41149208 0.04128692 0.54722106]
21000 / 95014 [0.17933415 0.50315124 0.31751463]
22000 / 95014 [0.31752956 0.10965133 0.5728191 ]
23000 / 95014 [0.21208389 0.0183234  0.7695927 ]
24000 / 95014 [0.05194833 0.92490965 0.02314203]
25000 / 95014 [0.3370168  0.23398763 0.42899555]
26000 / 95014 [0.03225074 0.01009611 0.95765316]
27000 / 95014 [7.3496057e-03 5.6901446e-04 9.9208140e-01]
28000 / 95014 [0.55508196 0.0626642  0.38225386]
29000 / 95014 [0.03512716 0.00284547 0.9620273 ]
30000 / 95014 [0.6353724  0.01103919 0.3535883 ]
31000 / 95014 [0.07148752 0.79740906 0.13110343]
32000 / 95014 [0.0298214  0.05563083 0.91454774]
33000 / 95014 [3.5893094e-02 3.9389197e-04 9.6371299e-01]
34000 / 95014 [1.0985447e-02 8.1437768e-04 9.8820019e-01]
35000 / 95014 [0.05131799 0.03555165 0.91313046]
36000 / 95014 [0.12190329 0.5497113  0.3283854 ]
37000 / 95014 [8.8420324e-03 9.9028951e-01 8.6844974e-04]
38000 / 95014 [0.04661553 0.94579417 0.00759024]
39000 / 95014 [0.93290913 0.03995741 0.02713352]
40000 / 95014 [0.61826944 0.04665498 0.33507562]
41000 / 95014 [0.05164443 0.00944589 0.9389097 ]
42000 / 95014 [0.07721071 0.2208517  0.7019376 ]
43000 / 95014 [0.09674983 0.13801913 0.765231  ]
44000 / 95014 [0.49248168 0.01734344 0.49017492]
45000 / 95014 [0.28088152 0.19718401 0.52193445]
46000 / 95014 [0.3616371  0.01212882 0.6262341 ]
47000 / 95014 [0.2534456  0.2769317  0.46962264]
48000 / 95014 [0.57519394 0.05778002 0.36702603]
49000 / 95014 [0.11380276 0.70023894 0.18595834]
50000 / 95014 [0.06832501 0.00274448 0.92893046]
51000 / 95014 [0.39796552 0.37325293 0.22878157]
52000 / 95014 [0.6481305  0.0700753  0.28179422]
53000 / 95014 [0.60605067 0.04424567 0.34970367]
54000 / 95014 [2.8254290e-03 1.5253061e-04 9.9702209e-01]
55000 / 95014 [0.03885713 0.00788841 0.95325446]
56000 / 95014 [0.01369578 0.06829397 0.9180102 ]
57000 / 95014 [0.4645465  0.19259766 0.34285587]
58000 / 95014 [0.19552514 0.2542784  0.55019647]
59000 / 95014 [0.10689831 0.05620919 0.8368925 ]
60000 / 95014 [0.01614784 0.00251118 0.981341  ]
61000 / 95014 [0.41574937 0.10462994 0.47962075]
62000 / 95014 [0.03973569 0.9412561  0.01900825]
63000 / 95014 [0.73992413 0.10990972 0.1501661 ]
64000 / 95014 [0.02063719 0.00344773 0.9759151 ]
65000 / 95014 [0.01964884 0.08891095 0.89144015]
66000 / 95014 [0.00494186 0.00412071 0.9909375 ]
67000 / 95014 [0.00867596 0.00238549 0.98893857]
68000 / 95014 [0.09804284 0.33031496 0.5716421 ]
69000 / 95014 [0.01709284 0.00384964 0.97905755]
70000 / 95014 [0.02981283 0.00187956 0.9683077 ]
71000 / 95014 [0.10257324 0.82925063 0.0681761 ]
72000 / 95014 [0.02368908 0.9073677  0.06894318]
73000 / 95014 [0.06177923 0.03683564 0.9013852 ]
74000 / 95014 [0.20666763 0.00627591 0.78705645]
75000 / 95014 [0.01125286 0.0024282  0.98631895]
76000 / 95014 [0.16770555 0.0475027  0.7847917 ]
77000 / 95014 [0.04441445 0.00238019 0.9532053 ]
78000 / 95014 [7.3057868e-02 4.2103726e-04 9.2652106e-01]
79000 / 95014 [0.08109695 0.00650582 0.9123972 ]
80000 / 95014 [0.04291788 0.00409695 0.95298517]
81000 / 95014 [0.00673692 0.00147509 0.9917881 ]
82000 / 95014 [0.1695823  0.00394513 0.8264726 ]
83000 / 95014 [0.05235349 0.8857968  0.06184972]
84000 / 95014 [0.11419288 0.00203035 0.8837767 ]
